2019-04-28 17:25:56.112 INFO  --- [SpringApplication.java:680][restartedMain] - No active profile set, falling back to default profiles: default
2019-04-28 17:25:59.998 WARN  --- [ThymeleafAutoConfiguration.java:104][restartedMain] - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-04-28 17:26:00.634 INFO  --- [StartupInfoLogger.java:59][restartedMain] - Started Application in 4.845 seconds (JVM running for 5.656)
2019-04-28 17:26:09.590 INFO  --- [HikariDataSource.java:110][http-nio-8080-exec-1] - HikariPool-1 - Starting...
2019-04-28 17:26:09.954 INFO  --- [HikariDataSource.java:123][http-nio-8080-exec-1] - HikariPool-1 - Start completed.
2019-04-28 17:26:09.959 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-1] - ==>  Preparing: select 'true' as QUERYID, USER_ID, PASSWD, USER_NAME, EMPLOYEE_ID, BRANCH_NO, LAST_IP, LAST_DATE, WRONG_PWD_COUNT, CREATOR, CREATE_TIME, accountNonExpired, accountNonLocked, credentialsNonExpired, STATUS, CHECK_STATUS, CHECKER, CHECK_TIME, CHANGE_PWD_FLAG, FILLER1, FILLER2, FILLER3 from cf_user WHERE ( USER_ID = ? and PASSWD = ? ) 
2019-04-28 17:26:09.978 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-1] - ==> Parameters: admin(String), ceb4f32325eda6142bd65215f4c0f371(String)
2019-04-28 17:26:09.994 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-1] - <==      Total: 1
2019-04-28 17:26:10.012 INFO  --- [LoginServiceImpl.java:38][http-nio-8080-exec-1] - 登录成功！
2019-04-28 17:26:16.890 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-2] - ==>  Preparing: select 'true' as QUERYID, USER_ID, PASSWD, USER_NAME, EMPLOYEE_ID, BRANCH_NO, LAST_IP, LAST_DATE, WRONG_PWD_COUNT, CREATOR, CREATE_TIME, accountNonExpired, accountNonLocked, credentialsNonExpired, STATUS, CHECK_STATUS, CHECKER, CHECK_TIME, CHANGE_PWD_FLAG, FILLER1, FILLER2, FILLER3 from cf_user WHERE ( USER_ID = ? and PASSWD = ? ) 
2019-04-28 17:26:16.891 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-2] - ==> Parameters: admin(String), ceb4f32325eda6142bd65215f4c0f371(String)
2019-04-28 17:26:16.894 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-2] - <==      Total: 1
2019-04-28 17:26:16.895 INFO  --- [LoginServiceImpl.java:38][http-nio-8080-exec-2] - 登录成功！
2019-04-28 17:26:22.430 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-3] - ==>  Preparing: select 'true' as QUERYID, USER_ID, PASSWD, USER_NAME, EMPLOYEE_ID, BRANCH_NO, LAST_IP, LAST_DATE, WRONG_PWD_COUNT, CREATOR, CREATE_TIME, accountNonExpired, accountNonLocked, credentialsNonExpired, STATUS, CHECK_STATUS, CHECKER, CHECK_TIME, CHANGE_PWD_FLAG, FILLER1, FILLER2, FILLER3 from cf_user WHERE ( USER_ID = ? and PASSWD = ? ) 
2019-04-28 17:26:22.431 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-3] - ==> Parameters: admin(String), ceb4f32325eda6142bd65215f4c0f371(String)
2019-04-28 17:26:22.439 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-3] - <==      Total: 1
2019-04-28 17:26:22.440 INFO  --- [LoginServiceImpl.java:38][http-nio-8080-exec-3] - 登录成功！
2019-04-28 17:26:57.751 INFO  --- [StartupInfoLogger.java:50][restartedMain] - Starting Application on DESKTOP-TL9S3KD with PID 35616 (D:\work\2018\merckActrl\merckActrlNew\target\classes started by ThinkPad in D:\work\2018\merckActrl\merckActrlNew)
2019-04-28 17:26:57.755 INFO  --- [SpringApplication.java:680][restartedMain] - No active profile set, falling back to default profiles: default
2019-04-28 17:27:01.733 WARN  --- [ThymeleafAutoConfiguration.java:104][restartedMain] - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-04-28 17:27:02.363 INFO  --- [StartupInfoLogger.java:59][restartedMain] - Started Application in 4.899 seconds (JVM running for 5.707)
2019-04-28 17:27:24.423 INFO  --- [HikariDataSource.java:110][http-nio-8080-exec-2] - HikariPool-1 - Starting...
2019-04-28 17:27:24.764 INFO  --- [HikariDataSource.java:123][http-nio-8080-exec-2] - HikariPool-1 - Start completed.
2019-04-28 17:27:24.770 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-2] - ==>  Preparing: select 'true' as QUERYID, USER_ID, PASSWD, USER_NAME, EMPLOYEE_ID, BRANCH_NO, LAST_IP, LAST_DATE, WRONG_PWD_COUNT, CREATOR, CREATE_TIME, accountNonExpired, accountNonLocked, credentialsNonExpired, STATUS, CHECK_STATUS, CHECKER, CHECK_TIME, CHANGE_PWD_FLAG, FILLER1, FILLER2, FILLER3 from cf_user WHERE ( USER_ID = ? and PASSWD = ? ) 
2019-04-28 17:27:24.790 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-2] - ==> Parameters: admin(String), ceb4f32325eda6142bd65215f4c0f371(String)
2019-04-28 17:27:24.810 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-2] - <==      Total: 1
2019-04-28 17:27:24.828 INFO  --- [LoginServiceImpl.java:38][http-nio-8080-exec-2] - 登录成功！
2019-04-28 17:27:30.006 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-1] - ==>  Preparing: select 'true' as QUERYID, USER_ID, PASSWD, USER_NAME, EMPLOYEE_ID, BRANCH_NO, LAST_IP, LAST_DATE, WRONG_PWD_COUNT, CREATOR, CREATE_TIME, accountNonExpired, accountNonLocked, credentialsNonExpired, STATUS, CHECK_STATUS, CHECKER, CHECK_TIME, CHANGE_PWD_FLAG, FILLER1, FILLER2, FILLER3 from cf_user WHERE ( USER_ID = ? and PASSWD = ? ) 
2019-04-28 17:27:30.007 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-1] - ==> Parameters: admin(String), ceb4f32325eda6142bd65215f4c0f371(String)
2019-04-28 17:27:30.011 DEBUG --- [BaseJdbcLogger.java:145][http-nio-8080-exec-1] - <==      Total: 1
2019-04-28 17:27:30.012 INFO  --- [LoginServiceImpl.java:38][http-nio-8080-exec-1] - 登录成功！
